ID,N,MaxSum,Time
0,10,874,0.000079
1,10,1287,0.000063
2,10,1003,0.000074
3,10,889,0.000075
4,10,980,0.000080
5,10,667,0.000097
6,10,1047,0.000066
7,10,949,0.000063
8,10,970,0.000088
9,10,1072,0.000106
0,100,7711,0.005675
1,100,6644,0.006042
2,100,8812,0.006351
3,100,14373,0.005611
4,100,6163,0.006201
5,100,8249,0.005828
6,100,9708,0.005398
7,100,12891,0.005477
8,100,7588,0.005744
9,100,7752,0.005801
0,1000,138074,1.060050
1,1000,142519,1.097857
2,1000,112702,1.074014
3,1000,97483,1.100982
4,1000,199595,1.125046
5,1000,160217,1.105238
6,1000,80805,1.075350
7,1000,130020,1.151721
8,1000,111311,1.068568
9,1000,111979,1.132149
0,10000,954576,3169.063929
1,10000,1112411,3146.881514
2,10000,696872,3168.592560
3,10000,1138223,3136.920357
4,10000,1083052,3139.178445
5,10000,1094436,3143.187274
6,10000,1308215,3136.382734
7,10000,2564757,3234.886473
8,10000,986023,3200.164706
9,10000,1324251,3214.786308
